Address,CityOrCounty,State,StateAbr,Killed,Injured,Month,Day,Year,Latitude,Longitude
Valley Ford Rd and Buford Rd,Adger,Alabama,AL,1,0,11,13,2017,32.63501642,-86.80937931
N/A,Cullman (county),Alabama,AL,1,0,10,23,2017,32.63501642,-86.80937931
4100 Messer Airport Hwy,Birmingham,Alabama,AL,1,0,8,14,2017,32.63501642,-86.80937931
1714 Coral Ln,Montgomery,Alabama,AL,1,1,6,26,2017,32.3162463,-86.2918362
3300 block of Fountain Lane,Montgomery,Alabama,AL,1,0,6,11,2017,32.34724369,-86.2672602
4100 block of Oak Trail Way,Leeds,Alabama,AL,1,0,4,30,2017,33.5413334,-86.5620585
3030 Rainbow Dr,Rainbow City,Alabama,AL,1,0,4,17,2017,33.93132878,-86.09162895
County Road 67 and County Road 145,Selma,Alabama,AL,1,0,4,14,2017,32.41659706,-87.03358936
100 block of Atwilder Dr,Hazel Green,Alabama,AL,1,0,4,13,2017,34.92367369,-86.56705651
16931 Buckskin Drive,Athens,Alabama,AL,1,0,1,1,2017,34.7847183,-86.95090322
County Road 41,Geneva (county),Alabama,AL,1,0,12,22,2016,32.63501642,-86.80937931
Foshee Road and Highway 31,Flomaton (Pollard),Alabama,AL,1,0,12,2,2016,32.63501642,-86.80937931
N/A,Manokotak,Alaska,AK,1,0,9,8,2017,58.99570976,-159.0019461
N/A,Togiak,Alaska,AK,1,0,8,16,2017,61.32535,-154.56505
5500 Lake Otis Parkway,Anchorage,Alaska,AK,1,0,12,13,2016,61.17095577,-149.8392301
N/A,Queen Creek,Arizona,AZ,1,0,8,15,2017,33.23972885,-111.6396721
600 block of E Kino Dr,Mesa,Arizona,AZ,1,0,7,18,2017,33.4019259,-111.7173787
4302 W Indian School Rd,Phoenix,Arizona,AZ,1,0,6,29,2017,33.4955968,-112.1521333
3700 block of E 5th St,Tucson,Arizona,AZ,1,0,5,10,2017,32.15690153,-110.8775061
3428 W Rosewood Ave,Phoenix,Arizona,AZ,1,0,3,20,2017,33.5721625,-112.0879662
7250 S Kyrene Rd,Tempe,Arizona,AZ,1,0,1,12,2017,33.38829246,-111.931833
700 block of Short Front St,Altheimer,Arkansas,AR,1,0,10,26,2017,34.32403166,-91.84845916
300 block of Dinan St,Helena,Arkansas,AR,1,0,10,6,2017,34.87946371,-92.38111209
N/A,El Dorado,Arkansas,AR,1,0,6,25,2017,33.21822258,-92.66412493
Belleville Ridge Road,Danville,Arkansas,AR,1,0,6,20,2017,35.05272511,-93.39023513
1952 Bruce Street,Conway,Arkansas,AR,1,0,6,7,2017,35.08139936,-92.4518292
257 N Baringo St,West Helena,Arkansas,AR,1,0,5,26,2017,34.87946371,-92.38111209
Neals Ln,Gillett,Arkansas,AR,1,0,5,18,2017,34.1190388,-91.37887774
402 E 3rd St,Hope,Arkansas,AR,1,0,3,7,2017,33.66832258,-93.5895434
South Cypress Street,Beebe,Arkansas,AR,1,0,2,27,2017,35.07130026,-91.90015759
E. 50th Street,Texarkana,Arkansas,AR,1,0,2,18,2017,33.43646449,-93.99608663
Lincoln Ave,Earle,Arkansas,AR,1,0,1,30,2017,35.27343935,-90.46426967
