Address,CityOrCounty,State,IncidentDate,Latitude,Longitude
81st Street and Western Avenue,Los Angeles,California,31-Dec-14,34.10482229,-118.4110473
Poydras and Bolivar,New Orleans,Louisiana,29-Dec-14,30.06880013,-89.9308814
8800 block of South Figueroa Street,Los Angeles,California,27-Dec-14,34.10482229,-118.4110473
4000 block of May Street,Sacramento,California,27-Dec-14,38.56663215,-121.4682998
2500 block of Summit Avenue,East St. Louis,Illinois,26-Dec-14,38.61532048,-90.13041434
18th and Pine,Saint Louis,Missouri,24-Dec-14,38.30885939,-92.50820581
260 Oxford Drive,Winchester,Kentucky,23-Dec-14,37.59576387,-85.40914763
191 Lake Road,Webster,New York,22-Dec-14,43.21507648,-77.42239211
Charlevoix and Philip,Detroit,Michigan,22-Dec-14,41.93132091,-83.3292499
5700 block of South Green Street,Chicago,Illinois,22-Dec-14,41.83861021,-87.68661087
South Washington Boulevard,Sarasota,Florida,21-Dec-14,27.30925191,-82.47885263
Central Avenue,Waynesboro,Mississippi,21-Dec-14,31.67733135,-88.63532467
600 block of Escanba,Calumet City,Illinois,21-Dec-14,41.61332017,-87.55057632
3200 block of Montrose Avenue,Rockford,Illinois,20-Dec-14,42.26315005,-89.06121191
Anna Street,Elizabeth,New Jersey,16-Dec-14,40.66531908,-74.19168022
1311 Northwest 2nd Avenue,Miami,Florida,14-Dec-14,25.77525637,-80.20885121
810 E. Skagway Ave.,Tampa,Florida,13-Dec-14,27.96800236,-82.4763859
717 North Killingsworth Court,Portland,Oregon,12-Dec-14,45.56202487,-122.6742725
2822 Bloomfield Drive,Macon,Georgia,12-Dec-14,32.83205682,-83.64960509
16000 block of Roosevelt Road,South Bend,Indiana,7-Dec-14,41.67725366,-86.26911678
6000 block of Virginia Avenue,Saint Louis,Missouri,2-Dec-14,38.30885939,-92.50820581
6128 Jefferson Ave ,Newport News,Virginia,2-Dec-14,37.07603548,-76.51651981
375 Remsen Avenue,Brooklyn,New York,30-Nov-14,40.63439283,-73.95026864
2412 East 13th Street ,Chattanooga,Tennessee,30-Nov-14,35.0246564,-85.2711177
1600 block of Richmond Avenue,Atlanta,Georgia,29-Nov-14,33.76265247,-84.4231419
348 S Orange Ave,Newark,New Jersey,29-Nov-14,40.72417185,-74.17242155
1849 East Brooks Road ,Memphis,Tennessee,28-Nov-14,35.0604872,-90.0021573
Pvt Rd 934,Georgetown,Texas,27-Nov-14,30.66267037,-97.69285694
Mission and 13th streets,San Francisco,California,26-Nov-14,37.75971499,-122.6939756
Parksley Road,Accomack County,Virginia,23-Nov-14,37.64882817,-78.70157159
Federal Boulevard and 16th Avenue,Denver,Colorado,23-Nov-14,39.76144202,-104.8767568
1400 block of East 92nd Street,Cleveland,Ohio,22-Nov-14,41.51121521,-81.56356397
Fourth Avenue,Sisseton,South Dakota,22-Nov-14,45.66249829,-97.0452929
Clifton Avenue and Rice Street,Springfield,Ohio,22-Nov-14,39.92952538,-83.79298401
