Address,CityOrCounty,State,Month,Day ,Year,Latitude,Longitude,StateAbr
81st Street and Western Avenue,Los Angeles,California,12,31,2014,34.10482229,-118.4110473,CA
Poydras and Bolivar,New Orleans,Louisiana,12,29,2014,30.06880013,-89.9308814,LA
8800 block of South Figueroa Street,Los Angeles,California,12,27,2014,34.10482229,-118.4110473,CA
4000 block of May Street,Sacramento,California,12,27,2014,38.56663215,-121.4682998,CA
2500 block of Summit Avenue,East St. Louis,Illinois,12,26,2014,38.61532048,-90.13041434,IL
18th and Pine,Saint Louis,Missouri,12,24,2014,38.30885939,-92.50820581,MO
260 Oxford Drive,Winchester,Kentucky,12,23,2014,37.59576387,-85.40914763,KY
191 Lake Road,Webster,New York,12,22,2014,43.21507648,-77.42239211,NY
Charlevoix and Philip,Detroit,Michigan,12,22,2014,41.93132091,-83.3292499,MI
5700 block of South Green Street,Chicago,Illinois,12,22,2014,41.83861021,-87.68661087,IL
South Washington Boulevard,Sarasota,Florida,12,21,2014,27.30925191,-82.47885263,FL
Central Avenue,Waynesboro,Mississippi,12,21,2014,31.67733135,-88.63532467,MS
600 block of Escanba,Calumet City,Illinois,12,21,2014,41.61332017,-87.55057632,IL
3200 block of Montrose Avenue,Rockford,Illinois,12,20,2014,42.26315005,-89.06121191,IL
Anna Street,Elizabeth,New Jersey,12,16,2014,40.66531908,-74.19168022,NJ
1311 Northwest 2nd Avenue,Miami,Florida,12,14,2014,25.77525637,-80.20885121,FL
810 E. Skagway Ave.,Tampa,Florida,12,13,2014,27.96800236,-82.4763859,FL
717 North Killingsworth Court,Portland,Oregon,12,12,2014,45.56202487,-122.6742725,OR
2822 Bloomfield Drive,Macon,Georgia,12,12,2014,32.83205682,-83.64960509,GA
16000 block of Roosevelt Road,South Bend,Indiana,12,7,2014,41.67725366,-86.26911678,IN
6000 block of Virginia Avenue,Saint Louis,Missouri,12,2,2014,38.30885939,-92.50820581,MO
6128 Jefferson Ave ,Newport News,Virginia,12,2,2014,37.07603548,-76.51651981,VA
375 Remsen Avenue,Brooklyn,New York,11,30,2014,40.63439283,-73.95026864,NY
2412 East 13th Street ,Chattanooga,Tennessee,11,30,2014,35.0246564,-85.2711177,TN
